Task,Source,Target,Generated,ProbHall
MT,Не волнуйся. Это только временно.,Don't worry. It's only temporary.,"Don't worry, it's only temporary.",0.00
MT,"Тома никогда нет там, где он должен быть.",Tom is never where he's supposed to be.,Tom is never where he should be.,0.00
MT,Мне сложно работать с Томом.,I have trouble working with Tom.,It's hard for me to work with Tom.,0.00
MT,"Воду, пожалуйста.",I'd like some water.,"Water, please.",0.00
MT,"Я не ожидал, что Том предаст меня.",I didn't think that Tom would betray me.,I didn't expect Tom to betray me.,0.00
MT,"Всё не так плохо, как думает Том.",Things aren't as bad as Tom thinks.,It's not as bad as Tom thinks.,0.00
MT,Не усложняйте.,Keep it simple.,Don't complicate it.,0.00
MT,"Почему вы не можете принять меня таким, какой я есть?",Why can't you accept me as I am?,Why can't you accept me as I am?,0.00
MT,Ненавижу это место.,I hate this place.,I hate this place.,0.00
MT,Том находится там в качестве добровольца.,Tom is there as a volunteer.,Tom is here as a volunteer.,0.00
MT,Можно мне тоже одну?,"Can I have one, too?",Can I have one too?,0.00
MT,"Ты в жизни не такой, как на фотографии.",You look different than your picture.,You're different in life than in a picture.,0.00
MT,Она начала осваиваться в своем новом офисе.,She began to get the feel of her new office.,She started working in her new office.,1.00
MT,У меня сейчас нет дел.,I don't have anything to do now.,I don't have anything to do right now.,0.00
MT,Экватор делит землю на два полушария.,The equator divides the earth into two hemispheres.,The equator divides the earth into two hemispheres.,0.00
MT,Я хотел бы стать христианином.,I would like to become a Christian.,I would like to become a Christian.,0.00
MT,Все будут тебе завидовать.,Everyone will envy you.,Everyone will be jealous of you.,0.00
MT,Том купил себе новое пианино.,Tom bought himself a new piano.,Tom bought a new piano.,0.00
MT,"Вы знали, что у Тома три брата?",Did you know that Tom had three brothers?,Did you know Tom had three brothers?,0.00
MT,Не давайте Тому прыгать на кровати.,Don't let Tom jump on the bed.,Don't let Tom jump on the bed.,0.00
MT,Впредь обещаю быть пунктуальным.,"From now on, I promise to be punctual.",I promise to be punctual.,0.00
MT,Поделите это между собой.,Divide this among yourselves.,Share this with each other.,0.00
MT,У Тома есть выбор.,Tom has a choice.,Tom has a choice.,0.00
MT,"Мы надеемся, что нам не понадобится это делать.",We're hoping we won't have to do that.,We hope we don't need to do that.,0.00
MT,Как ты его уговорил?,How did you convince him?,How did you persuade him?,0.00
MT,"Том видел Мэри, но ничего ей не сказал.","Tom saw Mary, but didn't say anything to her.","Tom saw Mary, but didn't tell her anything.",0.00
MT,В зиме мне не нравится холод.,What I hate about winter is the cold.,I don’t like the cold in winter.,0.00
MT,Том познакомился с Мэри год назад.,Tom met Mary a year ago.,Tom met Mary a year ago.,0.00
MT,"Мне нужна не белая, а цветная бумага.",I don't need white but coloured paper.,"I don't need white paper, I need coloured paper.",0.00
MT,Том покупает одежду в торговом центре.,Tom buys clothes at the mall.,Tom's buying clothes at the mall.,0.00
MT,"Мне было просто всё равно, понимаешь?","I really didn't care, you know?","I just didn't care, you know?",0.00
MT,Можете дать мне свой перочинный нож?,Can you give me your pocket knife?,Can you give me your feather knife?,1.00
MT,Я хочу поговорить с тобой об этом отчёте.,I want to talk to you about this report.,I want to talk to you about this report.,0.00
MT,У меня пропала одежда.,My clothes are gone.,I've lost my clothes.,0.00
MT,"Том заметил, что дверь открыта.",Tom noticed that the door was open.,Tom noticed that the door was open.,0.00
MT,Её муж богат.,Her husband is rich.,Her husband is rich.,0.00
MT,Это невозможно или просто сложно?,Is it impossible or just hard?,Is it impossible or just difficult?,0.00
MT,В этом предложении не хватает точки.,This sentence needs a period.,That proposal lacks a point.,1.00
MT,Мария закрыла лицо руками.,Maria covered her face with her hands.,Maria closed her face with her hands.,0.50
MT,Вы бы лучше пошли помогли ей.,You'd better go help her.,You'd better go help her.,0.00
MT,"Я думал, ты канадка.",I thought that you were Canadian.,I thought you were Canadian.,0.00
MT,Том развёлся с Мэри в прошлом году.,Tom divorced Mary last year.,Tom divorced Mary last year.,0.00
MT,Да ну тебя!,Give me a break!,Come on!,1.00
MT,"Том не думает, что на Марсе есть жизнь.",Tom doesn't think there is any life on Mars.,Tom doesn't think there's life on Mars.,0.00
MT,Финики - это здоровая пища.,Dates are a healthy food.,Phoenicians are healthy food.,1.00
MT,Том нырнул в воду и поплыл на тот берег.,Tom dove into the water and swam to the other side.,Tom dived into the water and sailed to that shore.,1.00
MT,Ты несправедлив.,You're being unfair.,You're not fair.,0.00
MT,"Я знал, что Том не силён в шахматах.",I knew that Tom wasn't good at chess.,I knew Tom wasn’t strong at chess.,0.00
MT,Мне надо сделать важное объявление.,I have an important announcement to make.,I need to make an important announcement.,0.00
MT,Вы часто простужаетесь?,Do you frequently get colds?,Do you often get cold?,1.00
MT,Я поцеловал Тома в лоб.,I kissed Tom on the forehead.,I kissed Tom on his forehead.,0.00
MT,Я добавил страницу в закладки.,I bookmarked the page.,I added a page to the bookmarks.,0.00
MT,Он купил минибар в свою комнату.,He bought a mini fridge for his dorm room.,He bought a minibar in his room.,1.00
MT,"Надеюсь, вы не забыли пригласить Тома.",I hope that you didn't forget to invite Tom.,I hope you did not forget to invite Tom.,0.00
MT,Кто не мечтал о своём личном поваре?,Who hasn't dreamt of having their own personal chef?,Who hasn’t dreamed of their own chef?,0.00
MT,Приштина — столица Косово.,Pristina is the capital of Kosovo.,Pristina is the capital of Kosovo.,0.00
MT,Медведь черный.,The bear is black.,Bear is black.,0.00
MT,Освещение стало тускнеть.,The lights began to dim.,The lighting began to fade.,1.00
MT,Мы с ним родственные души.,He and I are kindred spirits.,He and I are soul mates.,0.00
MT,Это чешский?,Is that Czech?,Is it Czech?,0.00
MT,"Я знаю, что случилось.",I know what happened.,I know what happened.,0.00
MT,Иногда мне трудно говорить по-французски.,I sometimes struggle to speak French.,Sometimes I find it difficult to speak French.,0.00
MT,Мы сейчас живём за городом.,We live in the country now.,We live outside the city now.,0.00
MT,Я о таких вещах не беспокоюсь.,I don't worry about those things.,I don't care about those things.,1.00
MT,У меня в моче была кровь.,I had blood in my urine.,I had blood in my urine.,0.00
MT,"Отец Тома, находящийся в тюрьме, никогда не пишет Тому.","Tom's father, who is in prison, never writes to Tom.","Tom’s father, who is in prison, never writes to Tom.",0.00
MT,Просто предоставьте всё нам.,Just leave everything to us.,Just give us everything.,1.00
MT,Тебе не нравится твоё имя?,Don't you like your name?,You don't like your name?,0.00
MT,Кошки не любят воду.,Cats don't like water.,Cats don’t like water.,0.00
MT,Пауки — отвратительные маленькие существа.,Spiders are loathsome little creatures.,Spiders are disgusting little creatures.,0.00
MT,Я никак не успеваю доделать это до завтра.,There's no way I can finish doing this by tomorrow.,I don't have time to finish it until tomorrow.,1.00
MT,У меня в комнате холодно.,It's cold in my room.,It's cold in my room.,0.00
MT,Передашь ему это на том свете!,Tell him that in the afterlife.,You'll give it to him in that light!,1.00
MT,Тому не разрешили уйти.,Tom wasn't allowed to leave.,Tom was not allowed to leave.,0.00
MT,Что делать в случае пожара?,What should I do in case of fire?,What to do in case of fire?,0.00
MT,"Том рисковал своей жизнью, чтобы спасти Мэри.",Tom risked his life to save Mary.,He risked his life to save Mary.,0.00
MT,Её манера говорить нервирует меня.,The way she talks gets on my nerves.,Her way of speaking makes me nervous.,1.00
MT,Ты мог пораниться.,You could hurt yourself.,You could've hurt yourself.,0.00
MT,"Я надеюсь, что у меня получится.",I hope I succeed.,I hope I succeed.,0.00
MT,Пойду найду Тома.,I'll go find Tom.,I'll find Tom.,0.00
MT,Мне это вовсе не кажется странным.,I don't think it's strange at all.,I don't think that's weird at all.,0.00
MT,Её происхождение неизвестно.,Its origin is unknown.,It's a lot.,1.00
MT,Не ты ли просил меня подержать тебя за руку?,Didn't you ask me to hold your hand?,Didn't you ask me to hold your hand?,0.00
MT,Сегодня я не работаю.,I'm not working today.,I don't work today.,0.00
MT,Я умолял Тома прийти.,I begged Tom to come.,I begged Tom to come.,0.00
MT,Брат меня убьёт.,My brother's going to kill me.,My brother will kill me.,0.00
MT,С тобой такое часто бывает?,Does this happen to you a lot?,Does that happen to you often?,0.00
MT,Они отклонили приглашение.,They declined the invitation.,They rejected the invitation.,0.00
MT,Том меня никогда не видел.,Tom never saw me.,Tom never saw me.,0.00
MT,Том живёт близ заброшенного здания.,Tom lives near an abandoned building.,Tom lives near an abandoned building.,0.00
MT,"Том, похоже, меня не узнавал.",Tom didn't seem to recognize me.,Tom didn't seem to recognize me.,0.00
MT,Вы так долго со мной разговаривали и не знаете как меня зовут?!,"You've been talking to me for so long, don't you know my name?!",You've been talking to me for so long and you don't know what my name is?,0.00
MT,Том подкупил Мэри?,Did Tom bribe Mary?,Did Tom bribe Mary?,0.00
MT,Свобода бесценна.,Freedom is invaluable.,Freedom is invaluable.,0.00
MT,Она заплакала.,She started crying.,She cried.,0.00
MT,Нашли что-нибудь интересное?,Have you found something interesting?,Did you find anything interesting?,0.00
MT,Вы можете перевязать эту рану?,Can you dress this wound?,Can you tie this wound?,1.00
MT,После землетрясения многие решили спать в палатках на улице.,"After the earthquake, many people decided to sleep outside in tents.","After the earthquake, many decided to sleep in tents on the street.",0.00
MT,Откуда Том узнал о нашем плане?,How did Tom know about our plan?,How did Tom know about our plan?,0.00
MT,Я здесь часто ем.,I often eat here.,I eat here often.,0.00
MT,Я пятнадцать лет работал учителем.,I worked as a teacher for fifteen years.,I worked as a teacher for 15 years.,0.00
MT,Я не хочу пить ваш чай.,I do not want to drink your tea.,I don't want to drink your tea.,0.00
MT,Тому не надо было обманывать Мэри.,Tom shouldn't lie to Mary.,Tom didn't have to fool Mary.,1.00
MT,Ты сидишь на моём стуле.,You're sitting in my chair.,You're sitting on my chair.,0.00
MT,"Да, это моё.",Yes it's mine.,"Yeah, it's mine.",0.00
MT,Я не собираюсь просто дать тебе это.,I'm not just going to give it to you.,I'm not gonna just give you this.,0.00
MT,К чёрту весь мир!,Fuck the universe.,Fuck the world!,0.00
MT,Том нецензурно выражался.,Tom was cursing.,Tom uncensoredly expressed himself.,0.00
MT,"Я думал, ты беременна.",I thought you were pregnant.,I thought you were pregnant.,0.00
MT,Вы должны оставаться в форме.,You have to stay fit.,You have to stay in shape.,0.00
MT,Я испёк это для тебя.,I baked it for you.,I've got this for you.,1.00
MT,Почему ты так не думаешь?,Why don't you feel that way?,Why don't you think so?,0.00
MT,Окна Тома были открыты некоторое время назад. Сейчас они закрыты.,Tom's windows were open a while ago. They're closed now.,"I've got a time ago, while you've got a few times ago.",1.00
MT,Такого ещё никогда не было.,It had never happened before.,It's never happened before.,0.00
MT,"Таких людей, как вы, немного.",There aren't many people like you.,There are few people like you.,0.00
MT,Том хочет быть переводчиком.,Tom wants to be a translator.,Tom wants to be an interpreter.,0.00
MT,Меня не беспокоит Ваше прошлое.,I don't care about your past.,I don't care about your past.,0.00
MT,Тут мне придётся согласиться с Томом.,I've got to agree with Tom here.,That's where I'll have to agree with Tom.,0.00
MT,Том беспокоится за своего сына.,Tom is worried about his son.,Tom is worried about his son.,0.00
MT,"Том считает, что мы не должны были этого делать.","According to Tom, we shouldn't have done that.",Tom thinks we shouldn't have done that.,0.00
MT,"Когда дело доходит до готовки, с Мэри никто не сравнится.","When it comes to cooking, no one can equal Mary.","When it comes to cooking, no one compares to Mary.",0.00
MT,Такого несуразного заявления я давно не слыхал.,This is the most outlandish claim I've heard in a long time.,I haven't heard such an unspeakable statement in a long time.,0.00
MT,"Я никогда прямо не говорил, что она украла мои деньги.",I never said she stole my money.,I never said she stole my money.,0.00
MT,Ты должен её остановить.,You have to stop her.,You have to stop her.,0.00
MT,Эта книга помогла многим людям похудеть.,This book has helped many people lose weight.,This book has helped a lot of people lose weight.,0.00
MT,Крэк вызывает сильное привыкание.,Crack is very addictive.,Crack is very addictive.,0.00
MT,Том всегда покупает всё самое дешёвое.,Tom always buys whatever's the cheapest.,Tom always buys the cheapest.,0.00
MT,"Это пальто, которое я хочу купить.",This is the coat I want to buy.,That's the coat I want to buy.,0.00
MT,Мне определенно нужен один из них.,I definitely need one of those.,I definitely need one of them.,0.00
MT,Собаку кто-нибудь покормил?,Has anyone fed the dog?,Did anyone feed the dog?,0.00
MT,"Вы хотите, чтобы она вам помогла?",Do you want her to help you?,Do you want to know what you want?,1.00
MT,Сегодня я увидел звезду.,I saw a star today.,I saw a star today.,0.00
MT,"Надеюсь, она наготовила кучу спагетти.",I hope she's made lots of spaghetti.,I hope she made a bunch of spaghetti.,0.00
MT,"Спорим, я справлюсь лучше Тома.",I bet I can do better than Tom.,I bet I can do better than Tom.,0.00
MT,"Как только она открыла дверь, наружу выбежал кот.","As soon as she opened the door, a cat ran out.","As soon as she opened the door, the cat ran out.",0.00
MT,Ты хочешь что-нибудь сказать Тому?,Do you want to say anything to Tom?,Do you have anything you want to say to Tom?,0.00
MT,Том - профессионал в своём деле.,Tom is a professional in his business.,Tom's a professional at work.,1.00
MT,У Тома на это ушло всего около трёх минут.,It only took Tom about three minutes to do that.,Tom went around three minutes.,1.00
MT,Ему не нравится рыба.,He doesn't like fish.,He doesn’t like fish.,0.00
MT,Почему ты научил собаку испанскому?,Why did you teach the dog Spanish?,Why did you teach the dog Spanish?,0.00
MT,Ваше предложение лучше.,Your suggestion is better.,Your offer is better.,1.00
MT,Всё утро лил дождь.,It rained hard all morning.,It rained all morning.,1.00
MT,Тому эта фотография не понравилась.,Tom didn't like this picture.,Tom didn't like this photo.,0.00
MT,Том поддерживает чистоту в своей комнате.,Tom keeps his room tidy.,He maintains cleanliness in his room.,0.00
MT,Что твой парень подарил тебе на вашу годовщину?,What did your boyfriend give you for your anniversary?,What did your boyfriend give you for your anniversary?,0.00
MT,Папа Тома сводил его в аквапарк.,Tom's dad took him to a waterpark.,Tom’s dad took him to a water park.,0.00
MT,Он странно выглядит.,He looks weird.,He looks weird.,0.00
MT,Я бы на твоём месте поступил так же.,I would've done the same if I were you.,I'd do the same if I were you.,0.00
MT,Где здесь поблизости супермаркет?,Where's there a supermarket around here?,Where is the supermarket nearby?,0.00
MT,Когда вы поедете обратно в Бостон?,When will you go back to Boston?,When are you going back to Boston?,0.00
MT,На Юпитере жить нельзя.,You can't live on Jupiter.,You cannot live on Jupiter.,0.00
MT,Ты много о нас знаешь?,Do you know much about us?,You know a lot about us?,1.00
MT,"Если вы откроете эту дверь, возможно, вам не удасться снова закрыть ее.","If you open that door, you might not be able to get it closed again.","If you open this door, you may not be able to close it again.",0.00
MT,Тебе нужно думать о своём будущем.,You need to think about your future.,You need to think about your future.,0.00
MT,Мне нужно видеть этот отчёт сегодня.,I need to see that report today.,I need to see this report today.,0.00
MT,"Мне без разницы, сколько она стоит.",I don't care how much it costs.,I don't care how much she's worth.,1.00
MT,Ты всё ещё работаешь в пекарне на полставки?,You're still working part time at a bakery?,Are you still working at the bakery for halftime?,1.00
MT,Положите это в верхний ящик.,Put this in the top drawer.,Put it in the upper box.,1.00
MT,Том очень любит кататься на велосипеде.,Tom really likes cycling.,She likes to ride a bike.,1.00
MT,Ты бы на моём месте то же самое сделал.,You would've done the same if you were me.,You would have done the same thing in my place.,0.00
MT,"Том сделал своей девушке предложение, и она сказала да.",Tom proposed to his girlfriend and she said yes.,"Tom made an offer to his girlfriend, and she said yes.",1.00
MT,Я был с ним честен.,I have been honest with him.,I was honest with him.,0.00
MT,"Это не единственное, чего Том хотел.",That's not the only thing that Tom wanted.,That's not the only thing Tom wanted.,0.00
MT,"Скажи мне три вещи, которые ты можешь сделать хорошо.",Tell me three things that you can do well.,Tell me three things you can do well.,0.00
MT,У вас есть сковородка побольше?,Do you have a bigger pan?,Do you have a bigger pan?,0.00
MT,"Я единственная, кто может вам помочь.",I'm the only one who can help you.,I'm the only one who can help you.,0.00
MT,"Никто не видел, как они вышли из комнаты.",Nobody saw them leave the room.,No one saw them leave the room.,0.00
MT,В присутствии начальника нужно выглядеть заняты́м.,You need to look busy when the boss is around.,"In the presence of the boss, you need to look busy.",0.00
MT,Мы уже далеко продвинулись.,We've already made a lot of progress.,We've come a long way.,0.00
MT,Я Тома одновременно люблю и ненавижу.,I hate and love Tom at the same time.,I love and hate Tom at the same time.,0.00
MT,"Я хочу, чтобы вы встретили меня в аэропорту.",I'd like you to meet me at the airport.,I want you to meet me at the airport.,0.00
MT,Том точит свой карандаш.,Tom is sharpening his pencil.,Tom's sharpening his pencil.,0.00
MT,"Маша тушит мясо, а Фома делает салат.",Mary is cooking stew and Tom is making a salad.,"The mask melts meat, and Thomas makes a salad.",1.00
MT,Том мне ничего не сказал.,Tom didn't say anything to me.,Tom told me nothing.,0.00
MT,Том открыл своё окно.,Tom opened his window.,Tom opened his window.,0.00
MT,Это длинное путешествие.,It's a long journey.,It's a long journey.,0.00
MT,Оставайся дома.,Stay at home.,Stay home.,0.00
MT,Дело не совсем в этом.,That's not really the point.,It's not exactly that.,1.00
MT,Тома никогда не волновали чувства других людей.,Tom has never cared about other people's feelings.,Tom never cared about other people’s feelings.,0.00
MT,Звучит просто.,It sounds simple.,Sounds simple.,0.00
MT,Ты всегда так говоришь.,You always say that.,You always say that.,0.00
MT,Вот мой бумажник.,Here's my wallet.,Here's my wallet.,0.00
MT,Немедленно остановись!,Stop immediately!,Stop immediately!,0.00
MT,"Я спросил у Тома, не хочет ли он сходить искупаться.",I asked Tom if he wanted to go swimming.,I asked Tom if he wanted to go swimming.,0.00
MT,"Я думаю, Тому меньше тридцати.",I think Tom is under thirty.,I think Tom's under thirty.,0.00
MT,Почему бы нам не убрать этот беспорядок?,Why don't we clean up this mess?,Why don't we get rid of this mess?,0.00
MT,"Ну, я думаю, пора рассказать настоящую историю.","Well, I think it's time the real story was told.","Well, I think it's time to tell a real story.",0.00
MT,"Я говорил вам, что Том не захочет ехать.",I told you Tom wouldn't want to go.,I told you Tom wouldn't want to go.,0.00
MT,"Сделай с этим что-нибудь, пожалуйста.",Please do something about it.,"Do something about it, please.",0.00
MT,Том живёт в одном здании со мной.,Tom lives in my building.,Tom lives in the same building as me.,0.00
MT,Запри все двери.,Lock all the doors.,Lock all doors.,0.00
MT,"Я собираюсь использовать маркер, чтобы выделить главную информацию.",I am going to use the highlighter to highlight the main points.,I'm going to use a marker to highlight the main information.,0.00
MT,С тобой всё только делается лучше!,You being there makes it all better!,You're just doing better!,1.00
MT,Ты можешь поговорить об этом с Томом?,Can you talk to Tom about this?,Can you talk to Tom about this?,0.00
MT,Это пора остановить.,It's time to stop this.,It's time to stop.,0.00
MT,Мы очень гордимся нашей командой.,We're very proud of our team.,We are very proud of our team.,0.00
MT,Я мало что помню о Томе.,I don't remember much about Tom.,I don’t remember much about Tom.,0.00
MT,Ты мог бы хотя бы принять душ.,You could at least take a shower.,You could at least take a shower.,0.00
MT,Коала спит.,The koala is sleeping.,Cala sleeps.,1.00
MT,Они определили его местонахождение.,They've located him.,They found his location.,0.00
DM,"Plants producing chemical fertilizer , acid and soda make use of the phosphates from <define> Lienyunkang </define> and the salt from the Huaipei salt works .","(historical, _, or, _, obsolete)","A district of Wuhan, Hubei, China.",1.00
DM,"Several species of the genus Lesquerella produce as major hydroxy fatty acids either densipolic acid ( 12 - hydroxyoctadeca-9,15 - dienoic acid ) , <define> lesquerolic acid </define> ( 14 - hydroxyeicosa-11 - enoic acid ) or auricolic acid ( 14 - hydroxyeicosa-11,17 - dienoic acid ) .",(organic compound) A hydroxy acid found in the oil of most species of Lesquerella (= Physaria; the bladderpods).,(organic compound) Any of a group of flavonoids found in many plants of the genus Lesquerella.,0.00
DM,"<define> Odoraments </define> to smell to , of rose - water , violet flowers , balm , rose - cakes , vinegar , etc . , do much recreate the brains and spirits   [ … ]",(archaic) Something which gives off a scent; an odoriferous substance. [from 14th c.],(obsolete) An odour.,0.00
DM,"There is no serendipity without a flash of insight from left field , an oblique <define> eureka effect </define> .",The human experience of feeling a sudden sense of insight upon making a discovery or realization.,"(idiomatic) A sudden, unexpected, or unexpected discovery.",0.00
DM,"Even with the nuance , the vote was a momentous step for a church that has been mired in <define> intrafactional </define> warfare over homosexuality for more than a decade .",Within a single faction.,Between factions.,1.00
DM,"The ramjet should have failed , and then whoever run the race to the Power Room should have yanked his smoking body out of the way and , <define> hopeably </define> , restarted it .",(nonstandard) hopefully; in a way that one would hope for,In a hopeable manner.,0.00
DM,"Stone , bronze , iron , hawking , and gunpowder were added to man ’s power to destroy . But now , with the breech - loader and later improved weapons , man has become <define> omnidestructive </define> .",(rare) All-destroying.,Incapable of being destroyed.,1.00
DM,It 's no big deal to be <define> out </define> in the entertainment business .,"(LGBT) Openly acknowledging that one is LGBT+ (gay, trans, etc).",(informal) In a position of power or authority.,1.00
DM,"Not only because ' omnipotence ' as a single property is found in the creed , but because ' omnipotence ' as a single property is found in the creed , but because it is more appropriate and revealing perhaps than ' absolute causality ' ( Schleiermacher ) or ' infinity ' ( Pannenberg appealing to Gregory of Nyssa ) which for reasons internal to theology makes it possible to engage with the study of religions and philosophy of religion ; and might make concrete a provisional paraphrase of the word ' God ' understood as a <define> nomen appellativum </define> , not least as it is used in the term ' all - determining reality ' .","(grammar, rare) common noun","(philosophy, linguistics) An appellation.",1.00
DM,"[ ... ] As to the actual and present state of the school , it has experienced since this 2 1/2 or 3 years a perceptible decline , on one side for want of European youths , and on the other thro the continual <define> drawths </define> from them , as whenever these youths had but half concluded their studies , they were included and placed directly under the military , [ ... ]",That which is draughted or drawn; a draught.,"(archaic, or, dialectal) The act of drawing; drawing.",1.00
DM,The sight of the rope against the whitewashed wall and the thought of the <define> bloodsome </define> uproar which was about to smash the peace of the night into hash served to deepen that rummy feeling to which I have alluded .,"(literal, and, figurative) Marked by blood; bloody (all senses)",Resembling or characteristic of blood.,1.00
DM,Yet neither Pennsylvania 's <define> Quakerist </define> tendencies toward gender equality nor Connecticut 's legacy of radical Protestantism prevented these two colonies from sacrificing a widow 's rights to commercial considerations .,(uncommon) Quaker or Quaker-like.,Of or pertaining to Quakers.,0.00
DM,"Some bilingual speakers , including some who are <define> ambilingual </define> , can be said to have two ( occasionally more ) native languages . There is no exact criterion for this ; but one could say arbitrarily that any language learnt by the child before the age of instruction , from parents , from others , such as a nurse , looking after it , or from other children , is an L1 . It is clear , however , that only a small proportion of those who learn two or more languages in this way become ambilingual speakers ; and conversely , not all ambilinguals have two L1s .",Speaking two or more languages with complete fluency and such that there is no subject or domain of communication in which one language is preferred over others.,(linguistics) Having two or more languages as one's native language.,0.00
DM,"… hanging trollopy , and daggling about their heels ; but hastily <define> wrappt </define> round them as soon as I came upstairs .",(rare),"(intransitive, obsolete) To wrap (something) around oneself.",0.00
DM,"Today Arabic must be regarded as one of the important world languages . Its earli­est written forms are provided by pre - Islamic North and East Arabian inscriptions using a variant of the South Arabian monumental script . The attested dialects are <define> Liḥyānite </define> or Dedanite in Hedjāz , Thamūdic in north - eastern Hedjāz , Safaitic in southern Syria and Jor­dan , Hasaean in the oasis of al - Hāsa ’ , and Nabataean Arabic , represented by a few in­scriptions in Aramaic script .",Alternative spelling of Lihyanite,(linguistics) Of or pertaining to the Liḥyānite language.,0.00
DM,"And although I did not know this at the time , it 's also the <define> shitty stick </define> of philology , the course that no one wants to teach .",An extremely unpleasant person or situation.,"(slang, derogatory) A difficult or unappealing course of study.",1.00
DM,"qetsk - oB , <define> oFBS </define> , oMZS , etc .   - older brother or cousin , male / female   [ … ]",(anthropology) Initialism of older father's brother's son.; father's brother's son older than oneself.,(informal) Initialism of older brother.,1.00
DM,"Giuliana : Speak for yourself , Rancic . I can run in heels like no other ; it 's <define> amazeballs </define> !",(slang) Amazing.,(colloquial) Amazing.,0.00
DM,"The archboard assembly can now be erected , springing aft from the after most frame , and supported by the <define> horn timber </define> .",(nautical) A timber that angles up from the sternpost to support the overhang of the stern. A single vessel may have multiple horn timbers.,(architecture) A piece of timber used to support an archboard.,0.00
DM,<define> Prudent man rules </define> also require that greater financial and legal responsibility be attached to any imprudent action by corporate officers .,"(legal, investment) A standard for the duty of a fiduciary with responsibility over investments.","(idiomatic, business) To act in a prudent manner.",1.00
DM,"[ … ]   when he recollected that , being there as an assistant , he actually seemed — no matter what unhappy train of circumstances had brought him to that pass — to be the aider and <define> abettor </define> of a system which filled him with honest disgust and indignation , he loathed himself   [ … ]",A supporter or advocate. [Late 16th century.],One who abets.,0.00
DM,the <define> musculophrenic </define> artery,(anatomy) Pertaining to the muscles and the diaphragm.,(anatomy) Relating to the musculoskeletal system.,0.00
DM,"Descender from the plains , ultimate moon of all flames , from tumescences of fruit and flower dropping , darkened your face already — fool or baptist , summer 's fool , echoer , necrologue , or <define> foresong </define> of glaciers , anyway nutcracker , sedge - cutter , ponderer of platitudes — [ ... ]",A song sung as an opener to an event or story; prelude,(figuratively) A foreshadowing; a foreshadowing.,1.00
DM,"Therefore , the sum of the geometric multiplicities of a <define> defective matrix </define> will be less than n.","(linear algebra) A square (n×n) matrix that has fewer than n linearly independent eigenvectors, and is therefore not diagonalisable.",(mathematics) A matrix that is defective in some way.,0.00
DM,"[ … ] the eyes were once more beginning to show the old nystagmus ; so I decided to <define> needle </define> the cataracts , and on Jan. 31 I needled the right eye .","To pierce with a needle, especially for sewing or acupuncture.",(transitive) To insert a needle into.,0.00
DM,""" Hell , he 's <define> nickered </define> before . He nickers all the time ! """,To make a soft neighing sound characteristic of a horse.,"(intransitive, colloquial) To make a nicker.",0.00
DM,"Some saw them , and other Rauschenberg works , as neo - Dada , <define> antiart </define> gestures , for example .","Opposed to art, or to the concept of fine art",Opposed to art.,0.00
DM,"The purpose of a <define> comp </define> is to give your client , whether that is your boss , a committee you 're on , or an outside company that has retained you for design assistance , a look at what the finished piece you 've designed will look like .","(design) , a graphic design showing final proposed layout of text and images.","(chiefly, US, informal) A commission.",1.00
DM,"They saw Rimester near a light tower , one of the older writers , a black guy wearing a kufi , a skullcap , who did amazing wildstyle <define> window - downs </define> , Ismael had to admit — the letters decorated with love poems and sentiments of heartbreak .","A piece of graffiti covering a train, etc. from the base of the window downward.",Alternative form of window-down,1.00
DM,A wide spread of possible outcomes will give a relatively flat distribution and so indicate a risky project . A narrow spread of results will give a very <define> peaky </define> graph and indicate a low risk project .,Characterised by peaks.,Resembling or characteristic of a peak.,0.00
