Task,Source,Target,Generated,ProbHall
DM,The striker headed the ball into the <define> net </define> to make it 1 - 0 .,"(sports) A framework backed by a mesh, serving as the goal in hockey, soccer, lacrosse, etc.",(soccer) The area in which a goal is scored.,0.00
DM,She looked up and saw a man across the bayou carrying a <define> bundlesome </define> sack of groceries .,Characteristic of a bundle or bundling,Resembling or characteristic of bundles.,0.00
DM,This ' boys ' club ' attitude that girls ca n't be geeks is still a major stumbling block for <define> feminerds </define> and girls who want to break into geek culture .,"(slang) A feminist nerd, especially a woman.",(informal) A female geek.,0.00
DM,"Having deposited our mournful burden upon tressels within this region of horror , we partially turned aside the yet <define> unscrewed </define> lid of the coffin , and looked upon the face of the tenant .",Not having been screwed.,That has been unscrewed.,0.00
DM,"The dirty secret of the internet is that all this distraction and interruption is immensely profitable . Web companies like to boast about [ … ] , or offering services that let you "" <define> stay </define> up to date with what your friends are doing "" , [ … ] and so on . But the real way to build a successful online business is to be better than your rivals at undermining people 's control of their own attention .","(intransitive, copulative) To continue to have a particular quality.",(intransitive) To continue to do something.,1.00
DM,"She said : "" So I sure got my hands full . "" Handful . To mean : <define> handlesome </define> . Fit to be handed from hand to hand . Hand me down my walkincane .","(rare) Typified by, or requiring handling; (by extension) difficult to manage",(colloquial) Handy; capable of being handled.,1.00
DM,Named Tasmania 's first ever All Australian at the 1953 Adelaide carnival ( when he was playing at North Launceston ) Leedham is regarded by many as being the best footballer ever produced in the <define> Apple Isle </define> .,"(Australia, informal) Tasmania.",(Australia) The state of Tasmania.,0.00
DM,"As the <define> joblife </define> becomes a smaller percentage of the life cycles of most peoples , the traditions of social policy must adopt more adequate ways of social security .",That portion of one's life in which one is gainfully employed,The period of time during which a person is employed.,0.00
DM,"At home I lay down and sank into a not unpleasant <define> intoxicatedlike </define> condition , characterized by an extremely stimulated imagination .",(rare) Alternative form of intoxicated-like,Resembling or characteristic of intoxication.,0.00
DM,an <define> irritative </define> fever,"accompanied with, or produced by, increased action or irritation",(medicine) Causing irritation.,0.00
DM,I 'm going to <define> uni </define> after I leave school .,"(colloquial, chiefly, Britain, Australia, NZ, Canada) University.",(informal) university,0.00
DM,"Hyaline cells exhibit α - CasPPO - hemo immunostaining only at postmolt stage ( Fig 5A and 5B ; n = 5–6 ) , while semigranulocytes are <define> immunosensitive </define> only at early premolt and postmolt stages .",(immunology) sensitive to allergens; allergic,(immunology) Capable of being immunosensitive.,0.00
DM,No more midnight oil — for why should he be a <define> slave of the lamp </define> ? No more worry .,"(jocular) A person who works by lamplight, or works with electrical apparatus.","(idiomatic, by extension) A person who is enslaved by a job, a job, or a situation.",1.00
DM,The answer appears on the <define> thirty - second </define> page of the book .,"The ordinal form of the number thirty-two, describing a person or thing in position number 32 of a sequence.","The ordinal form of the number thirty-two, describing a person or thing in position number 32 of a sequence.",0.00
DM,"Put it down and walk away ... straight to the crime section of your bookstore , where I 'd suggest you start with The Hunter , the first book in his classic series about Parker , the <define> heister </define> 's heister   [ … ]",(rare) A thief or burglar.,"One who, or that which, heists.",0.00
DM,"Furthermore , though there are those who complain of official France , the <define> bunglesome </define> administration , the interminable red tape , I was not one of those who suffered any great inconvenience from these obstacles to progress .",Characterised or marked by bungling; ungainly; awkward; incompetent,"(informal) Unwieldy, complicated, or difficult to deal with.",1.00
DM,"Because the Sydney newspaper scene was dominated by a culture of alcohol - fuelled <define> blokeyness </define> , sexism and misogyny , Murdoch and Rabin introduced some groundbreaking recruitment practices .",The state or quality of being blokey.,(informal) The state or quality of being a bloke.,0.00
DM,"Four of the 32 251 Ku aircraft turned back , but the other 28 fought for 20 minutes against a reported 100 enemy aircraft , claiming 18 destroyed and five <define> probables </define> .",Something that is likely.,(military) An aircraft that has not yet been destroyed.,1.00
DM,"Fall may be the season of <define> poachable </define> fruit — apples in cider with vanilla , pears in pear juice with ginger   [ … ]",Suitable for being cooked by poaching.,(obsolete) Capable of being eaten.,0.00
DM,The exam was so hard we assumed the question <define> setter </define> must have been in a bad mood .,"One who sets something, such as a challenge or an examination.",One who sets a question.,0.00
DM,"When a problem reoccurs after surgery , it might be necessary to <define> reoperate </define> on a patient .","(intransitive, surgery) to operate (surgically) again (on the same thing as a previous operation).",(transitive) To perform (a surgery) again.,0.00
DM,"No matter how many <define> dietologists </define> , doctors , or journalists tell you that carbohydrates are bad for you , the brain runs on glucose , and glucose is a carbohydrate .",A specialist in dietology.,(informal) A dietitian.,0.00
DM,"New vasculature , under the influence of angiogenic growth factors , may grow from the <define> vaso vasorum </define> within the adventitia into the plaque .",(anatomy),(medicine) vasculature,0.00
DM,I felt <define> dehydrated </define> because I did n't bring enough water on the hike .,to lose or remove water; to dry,(intransitive) To become dehydrated.,0.00
DM,"Some in learning 's garb , With formal band , and sable - cinctur'd gown , And rags of <define> mouldly </define> volumes .",(obsolete) mouldy,Resembling or characteristic of a mould.,0.00
DM,"He comes outside when weather 's fine / To hang his singlets on the line , / And then returns - he needs no bell - / The scouse , or Sunday 's duff to share ; / The stokers <define> tabnabs </define> need his care ; / The sea sounds far away in there , / Ssssssssh , like the hush in a conch - shell .","(slang, British, Navy) A small item of food offered at break times, normally the morning break.",(obsolete) A stoker.,1.00
DM,"He had heard that in far - away France the motley was not confined to men . Had not Jeanne , queen of Charles I , possessed her jestress , Artaude de Puy , "" folle to our dear companion , "" as said the king ? Had not Madame d'Or , wearer of the bells , kept the nobles laughing ? Had not the haughty , eccentric Don John , his handsome , merry <define> joculatrix </define> , attached to his princely household ?","(obsolete) A female joculator; a female jester, comedian or entertainer.",A female jockey.,0.00
DM,""" Tickets will be available at the door for a cool 10 <define> dollarydoos </define> . ""","(Australia, informal, finance) The Australian dollar.","(Australia, New Zealand, slang) A dollar.",0.00
DM,"Almost all these magnificent buildings were used for ordinary theatrical performances during the 5th century . All of them , however , contain elements which are evidence that the <define> orchestrae </define> were not only used during musical or histrionic events but also for gladiatorial combats and hunts , which were a merciless way of eliminating huge numbers of Christians .   [ … ]   Execution was performed in public , in the arenas or ochestrae of the amphitheatres and theatres , and was particularly common during the reigns of Nero , Trajan Decius , Diocletian and other of the Roman emperors .",(rare),(historical) An amphitheatre.,0.00
DM,"His conceptualization eschews some crucial normative and epistemological distinctions between various forms or modalities of translation , especially between stronger and weaker ones ( or <define> reificatory </define> and non - reificatory ones ) and , in doing so , impairs our ability to evaluate them , viz . of choosing the side of the weak .",That reifies.,Of or pertaining to reification.,0.00
DM,The <define> judgess </define> demands in her charge to the jury to “ despise and hate all men and to bring up your children to do the same . ”,(obsolete) A female judge.,A female judge.,0.00
DM,One could take them for threads of wool like those which you pull out of an old <define> ravelly </define> stocking .,tangly; entwined like fibres,Resembling or characteristic of a rave.,1.00
DM,"It is generally believed that the creation of the <define> Kuomintang </define> will somewhat straighten out the political tangle in China caused by the multitude of parties . The Kuomintang holds itself out as the democratic party , and its support of the President will be tempered by the path his future actions take .","A nationalist political party founded under Sun Yat-sen in 1912 that ruled mainland China from 1928 to 1949, now one of three major parties in the Republic of China (Taiwan).",(historical) A political party in the People's Republic of China.,0.00
DM,""" He might not have meant to ignore her , "" answered Isabel thoughtfully ; "" he might have chosen not to introduce her because he felt too proud of her to subject her to any possible <define> misappreciation </define> from them . ""","(dated) An observed failure to appreciate the proper worth of a person, an act or a thing.",The state of being misappreciated.,0.00
DM,Our prototype implements a basic pharming attack to selectively <define> misresolve </define> the client domain name requests .,(transitive) To resolve incorrectly.,"(transitive, computing) To resolve incorrectly.",0.00
DM,"This done , he <define> reimportuned </define> Victor Riley , who , knowing now what Fred had known for weeks about the T.T. engine inventory , had one of the spares gift wrapped and released to the gruff little Yorkshireman .",To importune again.,(transitive) To import again.,0.00
DM,"However , as the beaks lack hooks typical for carnivorous birds , and calcium isotopes in the bones do not support a meat - based diet ( Angst et al . , 2014 ) , it is now assumed that <define> gastornithids </define> were herbivores .",(zoology) Any extinct bird in the family Gastornithidae.,(zoology) Any bird of the family Gastornithidae.,0.00
DM,"The small cadre of confirmed bachelors is excluded from the sample universe , and depending upon the dates of the records studied there can be an interaction between history and <define> groomdom </define> .",Grooms collectively.,The state or condition of being a groom.,1.00
DM,The original plan may have been for nothing more than an extended <define> pancarte </define> to cover the increasing number of donations around the mother house .,(obsolete) A royal charter confirming to a subject all his possessions.,(informal) A pancake breakfast.,1.00
DM,"We characterized the skull morphology of 19 species of <define> xenodontine </define> snakes using geometric morphometric techniques , and used phylogenetic comparative methods to test the association between diet and skull morphology .",(zoology) Belonging to a group of colubrid snakes with unusual teeth.,(zoology) Of or pertaining to the family Xenodontidae.,0.00
DM,The <define> headend </define> cable modem handles the medium access control ( MAC ) protocol which is necessary for point - to - multipoint operation on the tree - and - branch network .,"A cable TV control centre, at which terrestrial and satellite signals are received, monitored and injected into the cable network.",(computing) The part of a computer system that is responsible for processing the input and output of other systems.,0.00
DM,No refinement in him would now have surprised her ; but neither would any outbreak of <define> boorishness </define> .,The state or characteristic of being a boor or of being boorish; boorish behaviour.,The quality of being boorish.,0.00
DM,"Oft the fins of the volcano frantic with burning rage , madly heaves and struggles in the restless bosom of the mountain , and shaking the ponderous globe , scornfully <define> overleak </define> the rock walls within which they have been impaled , until their "" Horrid roar embowels with outrageous noise the air "" and blazing ruin scorches the fertile field and plain , and proud cities , with all their splendors , pomp , and wealth are submerged beneath the dark deep foundations by some gigantic impulse ...",To leak over.,(transitive) To leak out.,0.00
DM,"Often tricked into running up debts or signing their deeds directly over to these <define> landmongers </define> , the traditionalists appealed to the federal government for help .",An unscrupulous dealer in land.,"(Australia, New Zealand, historical) A person who attempts to acquire land by fraud.",1.00
DM,"<define> Ashers </define> offer such good arguments . Like : "" You 're dumb . ""","A member of the alt.suicide.holiday newsgroup, which deals with the topics of suicide and depression.","(slang, derogatory) A person of Asian descent.",1.00
DM,All companies working with series and <define> job production </define> state that they are using ramp - up management .,(business) The production of one or a very small number of customized made-to-order goods for a single customer.,The production of jobs.,0.00
DM,"These words were jabbered as fast as ever tongue could utter them , and when he had finished , up he jumped , again commenced the same mad rotations , and broke into the same extravagant <define> cantation </define> as before .",(obsolete) A singing.,"(countable, uncountable) The act of speaking in a cantorial manner.",0.00
DM,"4 . On 17 July , 3,000 infantry troops with several artillery pieces left Foochow in the direction of <define> Lienchiang </define> ( 119 - 31 , 26 - 12).5 . Beginning on 17 July Foochow had heavy rains on consecutive days . By 20 July floods had destroyed many houses , and more than 300,000 persons were distressed .",", a county in Fuzhou, Fujian, China","A prefecture-level city in Guangdong, China.",0.00
DM,"Back in Belding , he was always the tough guy , the one who rode around in his dad 's Pontiac Lemans with the vinyl top and the automatic on the floor . He drove that car like he was the <define> King Shit of Turd Island </define> , and I guess all of us was .","(idiomatic, slang, vulgar, derogatory) An individual with pretensions of great importance.","(slang, vulgar, derogatory) A person who is considered to be the best in his or her field.",0.00
DM,"An impish , balding man , he mimicked the inventor Buckminster Fuller , who documented his life in what he called a <define> chronofile </define> by pasting letters , bills and all manner of pieces of paper in a huge scrapbook for 68 years .",A historical record made up of everyday papers and documents from many stages of the owner's life.,(historical) A scrapbook used by Buckminster Fuller to record his life.,1.00
DM,"They are usually untrained , <define> unscreened </define> and unsupervised [ … ] .","Not screened, or not having been screened",Not screened.,0.00
DM,<define> furfurous </define> bread,furfuraceous,Of or pertaining to furries.,1.00
DM,"Yet , he indicated on the base of recent literature , there is a lot of ignored anticipation going on , and the assumption of <define> unanticipation </define> simply does not hold anymore ,   [ … ]",Lack of anticipation.,The state or condition of not anticipating.,0.00
DM,"It used to be known as the “ John Garfield Still Dead ” syndrome , after the extensive <define> postfuneral </define> coverage of a movie star who had a fatal heart attack in 1952 in the bed of a woman other than his wife .",After a funeral.,Occurring after a funeral.,0.00
DM,"Since the Dalai Lama is a <define> tulka </define> , he can choose to be reborn as he pleases to serve humanity .","(Buddhism) In Tibetan Mahayana, a particular high-ranking lama who can choose their own manner of rebirth.",(Buddhism) A reincarnated person.,1.00
DM,"Ignat'ev refused to concede these points , but offered other concessions instead : Russia would not demand a consulate in <define> Ch'i - ch'i - ha - erh </define> or Chang - chia - k'ou ( Kalgan ) ; it would permit Chinese subjects to continue living along the Ussuri river as Chinese subjects ; and it would limit to 200 the number of Russian traders in Peking .",(Qiqihar),"A prefecture-level city in Xinjiang, China.",0.00
DM,"Still , he describes [ ... ] the <define> yellow - breasted chats </define> and tundra swans that would appear in his yard , looking for seed .","A large yellow-colored songbird found on the American continent, Icteria virens","Any of several species of bird in the family Phalacrocoracidae, especially the yellow-breasted chat.",0.00
DM,"[ … ]   few of these boys know how to fight alone , and hardly any without a knife or a gun . They are not to be equated with matadors or boxers or Hemingway heroes . They are dangerous <define> pack hounds </define> who will not even expose themselves singly in the outfield .",A dog of any breed used to assist hunters as part of a pack.,"(figuratively) A person who tends to follow others, especially in a pack.",1.00
DM,"Meanwhile , the government expanded <define> semi - boarding school </define> facilities .","A school that provides board and lodging to some students, but allows others to attend during the day only, like a day school.",Alternative form of semi-boarding school,0.00
DM,"When , on a special occasion , they dined together at the Ritterhalle , she did not even look at the menu but <define> lionheartedly </define> ordered a single dropped egg and a cup of tea and resolutely kept her eyes away from Sue 's boiled beef and fritters .",In a lionhearted manner; courageously; bravely.,In a lionhearted manner.,0.00
DM,"Another even more effective method is to heavily douse the area with common grocery store vinegar ( white or apple cider ) , and then cover it with plastic and <define> solarize </define> it for two weeks . If after two weeks you still have problems , apply more vinegar and solarize for the rest of the summer and try again next year . Remember to clean the land before you solarize .",(horticulture) To treat soil by covering with plastic and exposing to sunlight.,(transitive) To cover with solarization.,0.00
DM,"Around the <define> nightfires </define> , I read Ezekiel and Leviticus and then spoke mysteriously about the quarry we chased , lengthening all I knew of the Harp gang into flatulent legend .",A fire that is lit outdoors at night.,A fire lit at night.,0.00
DM,"Combining this with the construction of Chern classes with coefficients in the <define> bigrassmannian </define> complexes , we get , for the weights up to four , local explicit formulas for the Chern classes in the rational Deligne cohomology via polylogarithms .","(maths) Pertaining to a permutation such that there is at most one left and one right descent (at most one index i and one index j, such that wsi < w and sjw < w).","(algebra, cohomology) Of or relating to bigrassmannian complexes.",0.00
DM,"And the Egyptians made the children of Israel to serve with <define> rigour </define> : And they made their lives bitter with hard bondage , in morter , and in brick , and in all manner of service in the field : all their service , wherein they made them serve , was with rigour .",Severity or strictness.,(uncountable) The quality or state of being rigorous.,0.00
DM,Why are you so <define> kiasi </define> ? You wo n't die from getting a small cut on the finger .,"(Singapore, colloquial, mildly, _, derogatory) Unwilling to take a chance for fear that something bad or unfavourable will happen; cowardly.","(South Africa, colloquial) Crazy, crazy.",1.00
DM,"The woozy “ Black Market Baby ” and spooky <define> sprechstimme </define> of “ What 's He Building ? ” are prime latter - day Waits , as are a host of other numbers that sound like work songs bellowed down a Tin Pan Alley .",A dramatic vocal style midway between speaking and singing.,(uncountable) The sound of sprechstimme.,0.00
DM,The first impression he must have made on the heathen chieftains was that of a man <define> unintimidatable </define> and devoid of fear .,Fearless; not able to be intimidated.,Not able to be intimidated.,0.00
DM,"From the evidence of other witnesses to alliterative texts copied by Thornton ( as , for instance , by comparing the four dissimilar manuscripts of Awntyrs or the two each of Truelove and The Palement of Thre Ages ) it can be seen that , although Thornton is a careful scribe and almost never <define> mismetres </define> a line into duple , alternating rhythms , he shows an eagerness to smooth out and add explanatory pleonasms by inserting fillers such as ful , frequently supplying full forms where an aphetic one was metrical , and altering the metrical pattern of the b - verses to make triple - beat ' anapaestic ' lines .",Alternative form of mismeter,"(transitive) To change the form of (a line, etc.).",0.00
DM,"It is time the international community faced the reality : we have an unmanageable , unfair , distortionary global tax regime . [ … ] It is the starving of the <define> public sector </define> which has been pivotal in America no longer being the land of opportunity – with a child 's life prospects more dependent on the income and education of its parents than in other advanced countries .",Any government and all entities that are controlled or funded by it.,(economics) The part of the economy that is controlled by the government.,0.00
DM,"For more than 30 years , the science has been crystal clear . How dare you continue to look away and come here saying that you 're doing enough , when the politics and solutions needed are still <define> nowhere in sight </define> .",Alternative form of nowhere to be found,(idiomatic) Not in sight.,0.00
DM,"My dear , if I should say your eyes / Are bright as Rigel in the skies ; / If I should say your lustrous hair / Is glorious more than high Altair / And that your simple , happy smile / Is of the <define> Mona Lisan </define> style ; / Or that your graceful ruby lips / E’en Trojan Helen ’s do eclipse ; / And tell you , too — not just to please — / You ’re fairer than the Naiades ; / Said I such things , by ardor fanned , / I do not think you ’d understand .",Resembling or characteristic of the Mona Lisa.,A en given name.,1.00
DM,Guess things are different in the <define> Xenaverse </define> . Maybe Ares and the other gods do n't like competition ?,(fandom slang) The fictional universe depicted in the Xena: Warrior Princess series.,(fandom slang) The universe of the television series Xena: Warrior Princess.,0.00
DM,"Now , happy bridging over a <define> chinese snooker </define> .","(snooker) A reverse snooker position where the cue ball is in front of, rather than behind, a ball that is not on, making the shot very difficult because the bridge is hampered and the cueing angle is unnaturally high.",(snooker) A type of snooker played in China.,0.00
DM,Doubtless ere many years St. George 's day may be simultaneously celebrated by all of us “ Anglo - Saxon ” blood <define> alliancers </define> .,One who favors and/or forms an alliance.,(historical) A member of the Anglo-Saxon community.,1.00
DM,"In case of rent charge , she was <define> endowable </define> unless the heir had elected to make it personalty by resorting to her writ of annuity .","(law, historical) Entitled to receive or eligible for dower; dowable.",Capable of being endowed.,0.00
DM,"Every year there is something new , something that <define> everybody who is anybody </define> gourmetwise , has to eat and rave about .","(idiomatic) All of the people who are well-known or important, especially those who have prominent social standing.",(idiomatic) Everyone.,1.00
DM,"Discouraged , the defendant switched to "" flawless English , "" and then went on to another expedient , advising that what he had been charged with doing was in fact the work of Satan ; who of course was not <define> subpoenable </define> by the prosecutor .",Capable of or permitted to be subpoenaed.,Capable of being subpoenaed.,0.00
DM,"Indeed , by a profound result of E. Kirchberg , F. Radulescu and N. Ozawa , a group is <define> hyperlinear </define> if and only if it satisfies the Connes embedding conjecture for groups , that is , if and only if its von Neumann algebra embeds into an ultrapower of the hyperfinite II1 factor R.","(mathematics, of groups) Displaying a generalization of sofic that applies to finite-dimensional Hilbert spaces.","(algebra, group theory, of an algebraic structure) Such that, for a given algebraic structure K, the group operation that maps every element of K to every element of K isomorphic to the operation of mapping elements of K to elements of K.",0.00
DM,"They were out to hunt a <define> niggergirl </define> , who , if she got across the thousand acres in safety , swam the river and crawled her way through the next quarter mile of thicket tangle on to the slope of Booby Mountain , would be free of molestation .","(offensive, ethnic slur) A young black woman.","(US, slang) A black woman.",0.00
DM,"[ … ]   when the seed surrenders , it becomes a tree . Seeds that do n’t surrender their “ <define> seedness </define> ” only wither up and blow away .",(rare) The state or quality of being seed.,The state or quality of being a seed.,0.00
DM,"My men at arms are ready for mounting , and I will give orders to my <define> vadelect </define> "" to have my own arms ready for a present adventure . ”",(obsolete) A personal servant; a man who is a member of the household staff.,(obsolete) A vassal.,0.00
DM,to <define> unearth </define> a fox or a badger,To drive or draw from the earth.,"(transitive, obsolete) To discover; to discover.",1.00
DM,"By definition – sorry , by hypothesis ! – we know that geometry and meaning belong in their origins to different orders of identity and that it is from their <define> contradictoriality </define> that the constituent symbolic factor of Sapiens is born .",Synonym of contradictoriness,(philosophy) The quality of being contradictory.,0.00
DM,Away from the immediate heat of our relationship — like when she 's at school — I think to myself that I might even enjoy the wild energy her <define> rilesome </define> nature brings to my life if it were n't so evident that so much of the time the pain she causes me is anything but inadvertent .,Easily aggravated; tending to get riled up.,Resembling or characteristic of a rascal.,1.00
DM,""" Optic sight "" means special equipment for firearms or <define> cold weapons </define> ,   [ … ]",A weapon that does not use fire or explosives.,Alternative form of cold-fire,1.00
DM,Previous study showed the zic family member Zic2a was involved in the regulation of two <define> prethalamic </define> transcription factor dlx2a and arxa .,Relating to the prethalamus,(anatomy) Occurring before the eye,0.00
DM,I am <define> perfect </define> that the Pannonians and Dalmatians for their liberties are now in arms .,(obsolete) Well informed; certain; sure.,"(obsolete, transitive) To be sure of; to be certain of; to be certain of.",0.00
DM,"Come here , <define> quick </define> !","Quickly, in a quick manner.",(informal) Quickly.,0.00
DM,"At street corners after dark in the West End , and up courts in the City , may be heard the hoarse cornet à piston , the <define> quakesome </define> flute , and eke the twanging harp , in trinity of dissonance ; [ ... ]",Characterised or marked by quaking,Resembling or characteristic of a quake.,0.00
DM,"Phase shift techniques for <define> pseudostereo </define> : ( a ) The circuit arrangement resembles the comb filter except that an all - pass phase shift network is used instead of signal delay ,   [ … ]","(sometimes, attributive) A technique or effect that simulates stereo, in sound or visual imagery.",Alternative form of pseudostereo,0.00
DM,"Of course , that does n't mean that parts of the home - buying process have n't been “ <define> webized </define> , ” or broken down into smaller pieces that can be done very efficiently online .","(internet, transitive) To adapt for the World Wide Web.",(transitive) To make (something) available on the World Wide Web.,0.00
DM,"Joan Bakewell was famously described as "" the <define> thinking man 's crumpet </define> "" .","(British, slang) An intelligent and good-looking woman, particularly one who has a high profile in the broadcast media.",(idiomatic) A person or thing that is thought-provoking.,1.00
DM,"In Dobu , the mother 's brother is held to be the harshest of all the relatives . “ The motherʼs brother may beat children long after their parents have ceased to do so , ” and they are forbidden to utter his name . There is a tender relationship with the “ navel , ” the motherʼs sisterʼs husband , who is the fatherʼs double , rather than with the father himself . Nevertheless , the father is considered “ less harsh ” than the motherʼs brother and will always seek , contrary to the laws of inheritance , to favor his son at the expense of his <define> uterine nephew </define> . And , finally , “ the strongest of all social bonds ” is the one between brother and sister.44",(anthropology) The son of one's sister.,"(chiefly, _, historical) A male relative who is not the biological son of the mother's husband or of the father's wife.",1.00
DM,the <define> contraction </define> of malaria,(medicine) The process of contracting a disease.,(medicine) The act of contracting.,0.00
DM,"In particular , we give an analytical identification of the mechanisms responsible for the <define> supernarrow </define> peaks observed recently in the spectrum of a mechanical realization of the system .",Extremely narrow.,Extremely narrow.,0.00
DM,To expressivity and simplicity of surface we must add one final factor that figures into the <define> glanceful </define> perception of environmental difficulties and the imperative to rectify them : the intensity of the conflict that engendered these difficulties .,Characterized by glances.,Pertaining to a glance.,0.00
DM,"E2A protein E47 , which forms heterodimers with NGN3 to regulate <define> proendocrine </define> gene transcription [ 44 ] coprecipitated with human NGN3 and was detected along with E12 , an alternately spliced form of E2A , in the mouse lysate ( Fig 1I , bottom right panel ) .",Relating to the production of endocrine secretions.,Of or pertaining to endocrinology.,0.00
DM,"Tenants have complained for years that the elevators are unsafe and unreliable , often stalling <define> midfloor </define> or refusing to work at all .",In the middle of a floor.,In the middle of a floor.,0.00
